ts	phase	decision	why	evidence	result
2026-09-03T23:22:50Z	frame	Define done as one maintained SvelteKit website plus a verified production hostname	The migration needs a falsifiable stopping point	docs/operations/svelte-production-cutover.md	open
2026-09-03T23:22:50Z	isolation	Create migration/svelte-only from origin/main in a dedicated worktree	The main checkout contains unrelated audit and installer changes	git branch migration/svelte-only at 8891b36	isolated
2026-09-03T23:22:50Z	architecture	Require Effect for touched website TypeScript boundaries and expected failures	The selected Svelte standard uses Effect for external failures and parsing	SVELTE-5-EFFECT-TS-CODING-STANDARDS.md	active constraint
2026-09-03T23:22:50Z	sequence	Keep the deployed old Worker until live observation passes	Deleting the rollback Worker first would remove the tested recovery path	docs/operations/svelte-production-cutover.md	open
2026-09-04T00:00:00Z	architecture	Delete the Solid site and move SvelteKit to site/	Redesign from First Principles and Minimize Reader Load require the sole website to use the permanent path	node tools/check-source-policy.mjs	verified
2026-09-04T00:01:00Z	architecture	Reject site-svelte/ as a permanent root	Subtract Before You Add rejects migration residue and duplicate path vocabulary	reader-load review	rejected
2026-09-04T00:02:00Z	implementation	Make source policy enforce one SvelteKit root and no retired framework code	Build the Lever and Encode Lessons in Structure make runtime ownership rerunnable in CI	npm run check:source-policy	verified
2026-09-04T00:03:00Z	cleanup	Remove exports and CSP helpers used only by the deleted runtime	Migrate Callers Then Delete Legacy APIs keeps no compatibility layer	npm run check:unused-exports; npm run typecheck	verified
2026-09-04T00:18:00Z	domain	Make https://getomg.xyz the canonical origin	Experience First favors the short product domain over an operator subdomain	shared/public-site.ts	implemented
2026-09-04T00:19:00Z	domain	Use Alchemy domain.redirects for www.getomg.xyz	Alchemy emits a path-preserving HTTP 301 before the Worker and manages DNS and TLS	alchemy@2.0.0-beta.74 WorkerDomainConfig; Cloudflare Custom Domains docs	implemented
2026-09-04T00:20:00Z	seo	Move every current origin contract to shared public-site constants	Model the Domain and Encode Lessons in Structure prevent metadata, billing, CORS, and invitation drift	node tools/check-source-policy.mjs	verified
2026-09-04T00:21:00Z	domain	Launch getomg.xyz before redirecting omg.latham.cloud	Sequence Verifiable Units preserves an independent rollback hostname during observation	docs/operations/svelte-production-cutover.md	open
2026-09-04T00:22:00Z	preflight	Wait for the getomg.xyz Cloudflare zone to become active	Cloudflare Custom Domains require an active zone and the authoritative nameserver change was still propagating	Cloudflare zone fb74005c3f17bc04cff822a8117643ea was pending; RDAP named lila.ns.cloudflare.com and piotr.ns.cloudflare.com	resolved
2026-09-04T00:34:00Z	preflight	Accept the activated Cloudflare zone	Cloudflare and two public resolvers now agree on the assigned authoritative nameservers	Cloudflare zone status active; Cloudflare DNS and Google DNS return lila.ns.cloudflare.com and piotr.ns.cloudflare.com	verified
2026-09-04T00:22:30Z	preflight	Require Dynamic URL Redirects Write before deployment	The current OAuth scope list lacks the permission required by the Rulesets API	wrangler whoami; Cloudflare Rulesets API documentation	open
2026-09-04T00:23:00Z	auth	Use a separate GitHub OAuth application for getomg.xyz during rollback	The old callback must keep working until the new domain passes production checks	docs/operations/svelte-auth-cutover.md	open
